Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2376,Bermuda,Zimbabwe,Zimbabwe,194 runs,Port of Spain,18-May-06
ODI # 2377,West Indies,India,India,5 wickets,Kingston,18-May-06
ODI # 2378,Bermuda,Zimbabwe,Zimbabwe,83 runs,Port of Spain,20-May-06
ODI # 2379,West Indies,India,West Indies,1 run,Kingston,20-May-06
ODI # 2380,West Indies,India,West Indies,4 wickets,Basseterre,23-May-06
ODI # 2381,West Indies,India,West Indies,6 wickets,Port of Spain,26-May-06
ODI # 2382,West Indies,India,West Indies,19 runs,Port of Spain,28-May-06
ODI # 2383,Ireland,England,England,38 runs,Belfast,13-Jun-06
ODI # 2384,England,Sri Lanka,Sri Lanka,20 runs,Lord's,17-Jun-06
ODI # 2385,England,Sri Lanka,Sri Lanka,46 runs,The Oval,20-Jun-06
ODI # 2386,England,Sri Lanka,Sri Lanka,8 wickets,Chester-le-Street,24-Jun-06
ODI # 2387,Scotland,Pakistan,Pakistan,5 wickets,Edinburgh,27-Jun-06
ODI # 2388,England,Sri Lanka,Sri Lanka,33 runs,Manchester,28-Jun-06
ODI # 2389,England,Sri Lanka,Sri Lanka,8 wickets,Leeds,01-Jul-06
ODI # 2390,Netherlands,Sri Lanka,Sri Lanka,195 runs,Amstelveen,04-Jul-06
ODI # 2391,Netherlands,Sri Lanka,Sri Lanka,55 runs,Amstelveen,06-Jul-06
ODI # 2392,Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,29-Jul-06
ODI # 2393,Zimbabwe,Bangladesh,Bangladesh,62 runs,Harare,30-Jul-06
ODI # 2394,Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,02-Aug-06
ODI # 2395,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,04-Aug-06
ODI # 2396,Scotland,Ireland,Ireland,85 runs,Ayr,05-Aug-06
ODI # 2397,Canada,Kenya,Kenya,108 runs,Toronto,05-Aug-06
ODI # 2398,Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,06-Aug-06
ODI # 2399,Scotland,Netherlands,Scotland,4 wickets,Ayr,06-Aug-06
ODI # 2400,Canada,Kenya,Kenya,5 wickets,Toronto,06-Aug-06
ODI # 2401,Ireland,Netherlands,no result,,Ayr,08-Aug-06
ODI # 2402,Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),12-Aug-06
ODI # 2403,Kenya,Bangladesh,Bangladesh,2 wickets,Nairobi (Gym),13-Aug-06
ODI # 2404,Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),15-Aug-06
ODI # 2405,Sri Lanka,India,no result,,Colombo (SSC),"Aug 18-19, 2006"
ODI # 2406,Canada,Bermuda,Bermuda,6 wickets,Toronto,19-Aug-06
ODI # 2407,Canada,Bermuda,Bermuda,11 runs,Toronto,21-Aug-06
ODI # 2408,England,Pakistan,no result,,Cardiff,30-Aug-06
ODI # 2409,England,Pakistan,Pakistan,7 wickets,Lord's,02-Sep-06
ODI # 2410,England,Pakistan,Pakistan,2 wickets,Southampton,05-Sep-06
ODI # 2411,England,Pakistan,England,8 wickets,Nottingham,08-Sep-06
ODI # 2412,England,Pakistan,England,3 wickets,Birmingham,10-Sep-06
ODI # 2413,Australia,West Indies,Australia,78 runs,Kuala Lumpur,12-Sep-06
ODI # 2414,India,West Indies,West Indies,29 runs,Kuala Lumpur,14-Sep-06
ODI # 2415,South Africa,Zimbabwe,South Africa,5 wickets,Bloemfontein,15-Sep-06
ODI # 2416,Australia,India,no result,,Kuala Lumpur,16-Sep-06
ODI # 2417,Australia,West Indies,West Indies,3 wickets,Kuala Lumpur,18-Sep-06
ODI # 2418,South Africa,Zimbabwe,South Africa,6 wickets,East London,18-Sep-06
ODI # 2419,India,West Indies,India,16 runs,Kuala Lumpur,20-Sep-06
ODI # 2420,South Africa,Zimbabwe,South Africa,171 runs,Potchefstroom,20-Sep-06
ODI # 2421,Australia,India,Australia,18 runs,Kuala Lumpur,22-Sep-06
ODI # 2422,Australia,West Indies,Australia,127 runs,Kuala Lumpur,24-Sep-06
ODI # 2423,Bangladesh,Sri Lanka,Sri Lanka,37 runs,Mohali,07-Oct-06
ODI # 2424,West Indies,Zimbabwe,West Indies,9 wickets,Ahmedabad,08-Oct-06
ODI # 2425,Sri Lanka,Zimbabwe,Sri Lanka,144 runs,Ahmedabad,10-Oct-06
ODI # 2426,Bangladesh,West Indies,West Indies,10 wickets,Jaipur,11-Oct-06
ODI # 2427,Bangladesh,Zimbabwe,Bangladesh,101 runs,Jaipur,13-Oct-06
ODI # 2428,Sri Lanka,West Indies,Sri Lanka,9 wickets,Mumbai (BS),14-Oct-06
ODI # 2429,India,England,India,4 wickets,Jaipur,15-Oct-06
ODI # 2430,New Zealand,South Africa,New Zealand,87 runs,Mumbai (BS),16-Oct-06
ODI # 2431,Pakistan,Sri Lanka,Pakistan,4 wickets,Jaipur,17-Oct-06
ODI # 2432,Australia,West Indies,West Indies,10 runs,Mumbai (BS),18-Oct-06
ODI # 2433,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Mumbai (BS),20-Oct-06
ODI # 2434,Australia,England,Australia,6 wickets,Jaipur,21-Oct-06
ODI # 2435,South Africa,Sri Lanka,South Africa,78 runs,Ahmedabad,24-Oct-06
ODI # 2436,New Zealand,Pakistan,New Zealand,51 runs,Mohali,25-Oct-06
ODI # 2437,India,West Indies,West Indies,3 wickets,Ahmedabad,26-Oct-06
ODI # 2438,Pakistan,South Africa,South Africa,124 runs,Mohali,27-Oct-06
ODI # 2439,England,West Indies,England,3 wickets,Ahmedabad,28-Oct-06
ODI # 2440,India,Australia,Australia,6 wickets,Mohali,29-Oct-06
ODI # 2441,Australia,New Zealand,Australia,34 runs,Mohali,01-Nov-06
ODI # 2442,South Africa,West Indies,West Indies,6 wickets,Jaipur,02-Nov-06
ODI # 2443,Australia,West Indies,Australia,8 wickets,Mumbai (BS),05-Nov-06
ODI # 2444,Kenya,Bermuda,Kenya,79 runs,Mombasa,11-Nov-06
ODI # 2445,Kenya,Bermuda,Kenya,7 wickets,Mombasa,12-Nov-06
ODI # 2446,Kenya,Bermuda,Kenya,104 runs,Mombasa,14-Nov-06
ODI # 2447,South Africa,India,South Africa,157 runs,Durban,22-Nov-06
ODI # 2448,Canada,Netherlands,Netherlands,17 runs,Potchefstroom,26-Nov-06
ODI # 2449,South Africa,India,South Africa,106 runs,Cape Town,26-Nov-06
ODI # 2450,Bermuda,Canada,Canada,5 wickets,Potchefstroom,27-Nov-06
ODI # 2451,Bermuda,Netherlands,Netherlands,8 wickets,Potchefstroom,28-Nov-06
ODI # 2452,South Africa,India,South Africa,80 runs,Port Elizabeth,29-Nov-06
ODI # 2453,Bangladesh,Zimbabwe,Bangladesh,9 wickets,Khulna,30-Nov-06
ODI # 2454,Bermuda,Canada,Canada,3 wickets,Benoni,30-Nov-06
ODI # 2455,Canada,Netherlands,Netherlands,1 wicket,Benoni,01-Dec-06
ODI # 2456,Bermuda,Netherlands,Bermuda,6 wickets,Benoni,02-Dec-06
ODI # 2457,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Bogra,03-Dec-06
ODI # 2458,South Africa,India,South Africa,9 wickets,Centurion,03-Dec-06
ODI # 2459,Bangladesh,Zimbabwe,Bangladesh,26 runs,Bogra,05-Dec-06
ODI # 2460,Pakistan,West Indies,Pakistan,2 wickets,Faisalabad,07-Dec-06
ODI # 2461,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,08-Dec-06
ODI # 2462,Bangladesh,Zimbabwe,Bangladesh,3 wickets,Dhaka,09-Dec-06
ODI # 2463,Pakistan,West Indies,Pakistan,7 wickets,Lahore,10-Dec-06
ODI # 2464,Pakistan,West Indies,West Indies,7 wickets,Multan,13-Dec-06
ODI # 2465,Bangladesh,Scotland,Bangladesh,6 wickets,Chittagong,15-Dec-06
ODI # 2466,Pakistan,West Indies,Pakistan,7 wickets,Karachi,16-Dec-06
ODI # 2467,Bangladesh,Scotland,Bangladesh,146 runs,Dhaka,17-Dec-06
ODI # 2468,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Napier,28-Dec-06
ODI # 2469,New Zealand,Sri Lanka,New Zealand,1 wicket,Queenstown,31-Dec-06
ODI # 2470,New Zealand,Sri Lanka,New Zealand,4 wickets,Christchurch,02-Jan-07
ODI # 2471,New Zealand,Sri Lanka,Sri Lanka,189 runs,Auckland,06-Jan-07
ODI # 2472,New Zealand,Sri Lanka,no result,,Hamilton,09-Jan-07
ODI # 2473,Australia,England,Australia,8 wickets,Melbourne,12-Jan-07
ODI # 2474,Australia,New Zealand,Australia,105 runs,Hobart,14-Jan-07
ODI # 2475,England,New Zealand,England,3 wickets,Hobart,16-Jan-07
ODI # 2476,Kenya,Scotland,Kenya,190 runs,Mombasa,17-Jan-07
ODI # 2477,Canada,Scotland,Scotland,2 wickets,Mombasa,18-Jan-07
ODI # 2478,Australia,England,Australia,4 wickets,Brisbane,19-Jan-07
ODI # 2479,Australia,New Zealand,Australia,2 wickets,Sydney,21-Jan-07
ODI # 2480,India,West Indies,India,14 runs,Nagpur,21-Jan-07
ODI # 2481,Kenya,Scotland,Kenya,6 runs,Mombasa,21-Jan-07
ODI # 2482,England,New Zealand,New Zealand,90 runs,Adelaide,23-Jan-07
ODI # 2483,Canada,Scotland,Scotland,2 wickets,Mombasa,23-Jan-07
ODI # 2484,Kenya,Canada,Canada,69 runs,Mombasa,24-Jan-07
ODI # 2485,India,West Indies,India,20 runs,Cuttack,24-Jan-07
ODI # 2486,Australia,England,Australia,9 wickets,Adelaide,26-Jan-07
ODI # 2487,India,West Indies,West Indies,3 wickets,Chennai,27-Jan-07
ODI # 2488,Australia,New Zealand,Australia,8 runs,Perth,28-Jan-07
ODI # 2489,Kenya,Bermuda,Kenya,10 wickets,Nairobi (Jaff),29-Jan-07
ODI # 2490,England,New Zealand,New Zealand,58 runs,Perth,30-Jan-07
ODI # 2491,Canada,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),30-Jan-07
ODI # 2492,Ireland,Scotland,Scotland,3 wickets,Nairobi (Gym),30-Jan-07
ODI # 2493,India,West Indies,India,160 runs,Vadodara,31-Jan-07
ODI # 2494,Bermuda,Ireland,Ireland,4 wickets,Nairobi (Jaff),31-Jan-07
ODI # 2495,Canada,Scotland,Scotland,7 runs,Nairobi (Ruaraka),31-Jan-07
ODI # 2496,Kenya,Netherlands,Kenya,7 wickets,Nairobi (Gym),31-Jan-07
ODI # 2497,Australia,England,England,92 runs,Sydney,02-Feb-07
ODI # 2498,Bermuda,Canada,Canada,56 runs,Nairobi (Gym),02-Feb-07
ODI # 2499,Kenya,Ireland,Kenya,1 wicket,Nairobi (Ruaraka),02-Feb-07
ODI # 2500,Netherlands,Scotland,Scotland,2 runs,Nairobi (Jaff),02-Feb-07
ODI # 2501,Australia,New Zealand,Australia,5 wickets,Melbourne,04-Feb-07
ODI # 2502,Bermuda,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),04-Feb-07
ODI # 2503,Canada,Ireland,Canada,6 wickets,Nairobi (Jaff),04-Feb-07
ODI # 2504,Kenya,Scotland,Scotland,77 runs,Nairobi (Gym),04-Feb-07
ODI # 2505,Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare,04-Feb-07
ODI # 2506,South Africa,Pakistan,South Africa,164 runs,Centurion,04-Feb-07
ODI # 2507,Bermuda,Scotland,Bermuda,5 wickets,Nairobi (Ruaraka),05-Feb-07
ODI # 2508,Kenya,Canada,Kenya,158 runs,Nairobi (Jaff),05-Feb-07
ODI # 2509,Ireland,Netherlands,Netherlands,6 runs,Nairobi (Gym),05-Feb-07
ODI # 2510,England,New Zealand,England,14 runs,Brisbane,06-Feb-07
ODI # 2511,Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare,06-Feb-07
ODI # 2512,Kenya,Scotland,Kenya,8 wickets,Nairobi (Gym),07-Feb-07
ODI # 2513,South Africa,Pakistan,Pakistan,141 runs,Durban,07-Feb-07
ODI # 2514,India,Sri Lanka,no result,,Kolkata,08-Feb-07
ODI # 2515,Australia,England,England,4 wickets,Melbourne,09-Feb-07
ODI # 2516,Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare,09-Feb-07
ODI # 2517,South Africa,Pakistan,no result,,Port Elizabeth,09-Feb-07
ODI # 2518,Zimbabwe,Bangladesh,Bangladesh,1 wicket,Harare,10-Feb-07
ODI # 2519,Australia,England,England,34 runs,Sydney,11-Feb-07
ODI # 2520,India,Sri Lanka,Sri Lanka,5 runs,Rajkot,11-Feb-07
ODI # 2521,South Africa,Pakistan,South Africa,10 wickets,Cape Town,11-Feb-07
ODI # 2522,India,Sri Lanka,India,5 wickets,Margao,14-Feb-07
ODI # 2523,South Africa,Pakistan,South Africa,9 wickets,Johannesburg,14-Feb-07
ODI # 2524,New Zealand,Australia,New Zealand,10 wickets,Wellington,16-Feb-07
ODI # 2525,India,Sri Lanka,India,7 wickets,Visakhapatnam,17-Feb-07
ODI # 2526,New Zealand,Australia,New Zealand,5 wickets,Auckland,18-Feb-07
ODI # 2527,New Zealand,Australia,New Zealand,1 wicket,Hamilton,20-Feb-07
ODI # 2528,Bangladesh,Bermuda,Bangladesh,8 wickets,St John's,25-Feb-07
ODI # 2529,Bermuda,Canada,Canada,3 wickets,St John's,26-Feb-07
ODI # 2530,Bangladesh,Canada,Bangladesh,13 runs,St John's,28-Feb-07
ODI # 2531,West Indies,Pakistan,West Indies,54 runs,Kingston,13-Mar-07
ODI # 2532,Australia,Scotland,Australia,203 runs,Basseterre,14-Mar-07
ODI # 2533,Canada,Kenya,Kenya,7 wickets,Gros Islet,14-Mar-07
ODI # 2534,Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain,15-Mar-07
ODI # 2535,Ireland,Zimbabwe,tied,,Kingston,15-Mar-07
ODI # 2536,England,New Zealand,New Zealand,6 wickets,Gros Islet,16-Mar-07
ODI # 2537,Netherlands,South Africa,South Africa,221 runs,Basseterre,16-Mar-07
ODI # 2538,Bangladesh,India,Bangladesh,5 wickets,Port of Spain,17-Mar-07
ODI # 2539,Ireland,Pakistan,Ireland,3 wickets,Kingston,17-Mar-07
ODI # 2540,Australia,Netherlands,Australia,229 runs,Basseterre,18-Mar-07
ODI # 2541,Canada,England,England,51 runs,Gros Islet,18-Mar-07
ODI # 2542,Bermuda,India,India,257 runs,Port of Spain,19-Mar-07
ODI # 2543,West Indies,Zimbabwe,West Indies,6 wickets,Kingston,19-Mar-07
ODI # 2544,Kenya,New Zealand,New Zealand,148 runs,Gros Islet,20-Mar-07
ODI # 2545,Scotland,South Africa,South Africa,7 wickets,Basseterre,20-Mar-07
ODI # 2546,Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,21-Mar-07
ODI # 2547,Pakistan,Zimbabwe,Pakistan,93 runs,Kingston,21-Mar-07
ODI # 2548,Canada,New Zealand,New Zealand,114 runs,Gros Islet,22-Mar-07
ODI # 2549,Netherlands,Scotland,Netherlands,8 wickets,Basseterre,22-Mar-07
ODI # 2550,India,Sri Lanka,Sri Lanka,69 runs,Port of Spain,23-Mar-07
ODI # 2551,West Indies,Ireland,West Indies,8 wickets,Kingston,23-Mar-07
ODI # 2552,Australia,South Africa,Australia,83 runs,Basseterre,24-Mar-07
ODI # 2553,England,Kenya,England,7 wickets,Gros Islet,24-Mar-07
ODI # 2554,Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,25-Mar-07
ODI # 2555,West Indies,Australia,Australia,103 runs,North Sound,"Mar 27-28, 2007"
ODI # 2556,South Africa,Sri Lanka,South Africa,1 wicket,Providence,28-Mar-07
ODI # 2557,West Indies,New Zealand,New Zealand,7 wickets,North Sound,29-Mar-07
ODI # 2558,England,Ireland,England,48 runs,Providence,30-Mar-07
ODI # 2559,Australia,Bangladesh,Australia,10 wickets,North Sound,31-Mar-07
ODI # 2560,West Indies,Sri Lanka,Sri Lanka,113 runs,Providence,01-Apr-07
ODI # 2561,Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,02-Apr-07
ODI # 2562,Ireland,South Africa,South Africa,7 wickets,Providence,03-Apr-07
ODI # 2563,England,Sri Lanka,Sri Lanka,2 runs,North Sound,04-Apr-07
ODI # 2564,Bangladesh,South Africa,Bangladesh,67 runs,Providence,07-Apr-07
ODI # 2565,Australia,England,Australia,7 wickets,North Sound,08-Apr-07
ODI # 2566,Ireland,New Zealand,New Zealand,129 runs,Providence,09-Apr-07
ODI # 2567,West Indies,South Africa,South Africa,67 runs,St George's,10-Apr-07
ODI # 2568,Bangladesh,England,England,4 wickets,Bridgetown,11-Apr-07
ODI # 2569,New Zealand,Sri Lanka,Sri Lanka,6 wickets,St George's,12-Apr-07
ODI # 2570,Australia,Ireland,Australia,9 wickets,Bridgetown,13-Apr-07
ODI # 2571,New Zealand,South Africa,New Zealand,5 wickets,St George's,14-Apr-07
ODI # 2572,Bangladesh,Ireland,Ireland,74 runs,Bridgetown,15-Apr-07
ODI # 2573,Australia,Sri Lanka,Australia,7 wickets,St George's,16-Apr-07
ODI # 2574,England,South Africa,South Africa,9 wickets,Bridgetown,17-Apr-07
ODI # 2575,Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,18-Apr-07
ODI # 2576,West Indies,Bangladesh,West Indies,99 runs,Bridgetown,19-Apr-07
ODI # 2577,Australia,New Zealand,Australia,215 runs,St George's,20-Apr-07
ODI # 2578,West Indies,England,England,1 wicket,Bridgetown,21-Apr-07
ODI # 2579,New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,24-Apr-07
ODI # 2580,Australia,South Africa,Australia,7 wickets,Gros Islet,25-Apr-07
ODI # 2581,Australia,Sri Lanka,Australia,53 runs,Bridgetown,28-Apr-07
ODI # 2582,Bangladesh,India,India,5 wickets,Dhaka,10-May-07
ODI # 2583,Bangladesh,India,India,46 runs,Dhaka,12-May-07
ODI # 2584,Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,18-May-07
ODI # 2585,Pakistan,Sri Lanka,Pakistan,98 runs,Abu Dhabi,20-May-07
ODI # 2586,Pakistan,Sri Lanka,Sri Lanka,115 runs,Abu Dhabi,22-May-07
ODI # 2587,Africa XI,Asia XI,Asia XI,34 runs,Bengaluru,06-Jun-07
ODI # 2588,Africa XI,Asia XI,Asia XI,31 runs,Chennai,09-Jun-07
ODI # 2589,Africa XI,Asia XI,Asia XI,13 runs,Chennai,10-Jun-07
ODI # 2590,Ireland,India,India,9 wickets,Belfast,23-Jun-07
ODI # 2591,Ireland,South Africa,South Africa,42 runs,Belfast,24-Jun-07
ODI # 2592,India,South Africa,South Africa,4 wickets,Belfast,26-Jun-07
ODI # 2593,India,South Africa,India,6 wickets,Belfast,29-Jun-07
ODI # 2594,England,West Indies,England,79 runs,Lord's,01-Jul-07
ODI # 2595,India,South Africa,India,6 wickets,Belfast,01-Jul-07
ODI # 2596,Canada,Netherlands,Netherlands,117 runs,Toronto,03-Jul-07
ODI # 2597,England,West Indies,West Indies,61 runs,Birmingham,04-Jul-07
ODI # 2598,England,West Indies,West Indies,93 runs,Nottingham,07-Jul-07
ODI # 2599,Netherlands,West Indies,West Indies,10 wickets,Dublin,10-Jul-07
ODI # 2600,Ireland,Netherlands,Ireland,1 run,Belfast,11-Jul-07
ODI # 2601,Scotland,West Indies,West Indies,4 wickets,Dublin,12-Jul-07
ODI # 2602,Netherlands,Scotland,no result,,Belfast,13-Jul-07
ODI # 2603,Ireland,West Indies,no result,,Dublin,14-Jul-07
ODI # 2604,Ireland,Scotland,Ireland,23 runs,Belfast,15-Jul-07
ODI # 2605,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (PSS),20-Jul-07
ODI # 2606,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (RPS),23-Jul-07
ODI # 2607,Sri Lanka,Bangladesh,Sri Lanka,39 runs,Colombo (RPS),25-Jul-07
ODI # 2608,Scotland,India,India,7 wickets,Glasgow,16-Aug-07
ODI # 2609,Netherlands,Bermuda,Netherlands,172 runs,Rotterdam,18-Aug-07
ODI # 2610,Netherlands,Bermuda,Netherlands,8 wickets,Rotterdam,20-Aug-07
ODI # 2611,England,India,England,104 runs,Southampton,21-Aug-07
ODI # 2612,Zimbabwe,South Africa,South Africa,5 wickets,Bulawayo,22-Aug-07
ODI # 2613,England,India,India,9 runs,Bristol,24-Aug-07
ODI # 2614,Zimbabwe,South Africa,South Africa,8 wickets,Harare,25-Aug-07
ODI # 2615,Zimbabwe,South Africa,South Africa,28 runs,Harare,26-Aug-07
ODI # 2616,England,India,England,42 runs,Birmingham,27-Aug-07
ODI # 2617,England,India,England,3 wickets,Manchester,30-Aug-07
ODI # 2618,England,India,India,38 runs,Leeds,02-Sep-07
ODI # 2619,England,India,India,2 wickets,The Oval,05-Sep-07
ODI # 2620,England,India,England,7 wickets,Lord's,08-Sep-07
ODI # 2621,India,Australia,no result,,Bengaluru,29-Sep-07
ODI # 2622,Sri Lanka,England,Sri Lanka,119 runs,Dambulla,01-Oct-07
ODI # 2623,India,Australia,Australia,84 runs,Kochi,02-Oct-07
ODI # 2624,Sri Lanka,England,England,65 runs,Dambulla,04-Oct-07
ODI # 2625,India,Australia,Australia,47 runs,Hyderabad (Deccan),05-Oct-07
ODI # 2626,Sri Lanka,England,England,2 wickets,Dambulla,07-Oct-07
ODI # 2627,India,Australia,India,8 runs,Chandigarh,08-Oct-07
ODI # 2628,Sri Lanka,England,England,5 wickets,Colombo (RPS),10-Oct-07
ODI # 2629,India,Australia,Australia,9 wickets,Vadodara,11-Oct-07
ODI # 2630,Sri Lanka,England,Sri Lanka,107 runs,Colombo (RPS),13-Oct-07
ODI # 2631,India,Australia,Australia,18 runs,Nagpur,14-Oct-07
ODI # 2632,India,Australia,India,2 wickets,Mumbai,17-Oct-07
ODI # 2633,Pakistan,South Africa,South Africa,45 runs,Lahore,18-Oct-07
ODI # 2634,Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),18-Oct-07
ODI # 2635,Pakistan,South Africa,Pakistan,25 runs,Lahore,20-Oct-07
ODI # 2636,Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),20-Oct-07
ODI # 2637,Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,23-Oct-07
ODI # 2638,Kenya,Bermuda,Kenya,8 wickets,Nairobi (Gym),25-Oct-07
ODI # 2639,Pakistan,South Africa,South Africa,7 wickets,Multan,26-Oct-07
ODI # 2640,Kenya,Bermuda,Kenya,3 wickets,Nairobi (Gym),27-Oct-07
ODI # 2641,Kenya,Bermuda,Kenya,1 wicket,Nairobi (Gym),28-Oct-07
ODI # 2642,Pakistan,South Africa,South Africa,14 runs,Lahore,29-Oct-07
ODI # 2643,India,Pakistan,India,5 wickets,Guwahati,05-Nov-07
ODI # 2644,India,Pakistan,Pakistan,4 wickets,Mohali,08-Nov-07
ODI # 2645,India,Pakistan,India,46 runs,Kanpur,11-Nov-07
ODI # 2646,India,Pakistan,India,6 wickets,Gwalior,15-Nov-07
ODI # 2647,India,Pakistan,Pakistan,31 runs,Jaipur,18-Nov-07
ODI # 2648,South Africa,New Zealand,South Africa,2 wickets,Durban,25-Nov-07
ODI # 2649,Zimbabwe,West Indies,Zimbabwe,30 runs,Harare,30-Nov-07
ODI # 2650,South Africa,New Zealand,New Zealand,7 wickets,Port Elizabeth,30-Nov-07
ODI # 2651,Zimbabwe,West Indies,West Indies,110 runs,Harare,02-Dec-07
ODI # 2652,South Africa,New Zealand,South Africa,5 wickets,Cape Town,02-Dec-07
ODI # 2653,Zimbabwe,West Indies,West Indies,6 wickets,Harare,04-Dec-07
ODI # 2654,Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo,07-Dec-07
ODI # 2655,Australia,New Zealand,Australia,7 wickets,Adelaide,14-Dec-07
ODI # 2656,Australia,New Zealand,no result,,Sydney,16-Dec-07
ODI # 2657,Australia,New Zealand,Australia,114 runs,Hobart,20-Dec-07
ODI # 2658,New Zealand,Bangladesh,New Zealand,6 wickets,Auckland,26-Dec-07
ODI # 2659,New Zealand,Bangladesh,New Zealand,102 runs,Napier,28-Dec-07
ODI # 2660,New Zealand,Bangladesh,New Zealand,10 wickets,Queenstown,31-Dec-07
ODI # 2661,South Africa,West Indies,South Africa,6 wickets,Centurion,20-Jan-08
ODI # 2662,Pakistan,Zimbabwe,Pakistan,104 runs,Karachi,21-Jan-08
ODI # 2663,Pakistan,Zimbabwe,Pakistan,5 wickets,Hyderabad (Sind),24-Jan-08
ODI # 2664,South Africa,West Indies,South Africa,86 runs,Cape Town,25-Jan-08
ODI # 2665,Pakistan,Zimbabwe,Pakistan,37 runs,Multan,27-Jan-08
ODI # 2666,South Africa,West Indies,South Africa,7 wickets,Port Elizabeth,27-Jan-08
ODI # 2667,Pakistan,Zimbabwe,Pakistan,7 wickets,Faisalabad,30-Jan-08
ODI # 2668,South Africa,West Indies,South Africa,5 wickets,Durban,01-Feb-08
ODI # 2669,Pakistan,Zimbabwe,Pakistan,7 wickets,Sheikhupura,02-Feb-08
ODI # 2670,Australia,India,no result,,Brisbane,03-Feb-08
ODI # 2671,South Africa,West Indies,South Africa,8 wickets,Johannesburg,03-Feb-08
ODI # 2672,India,Sri Lanka,no result,,Brisbane,05-Feb-08
ODI # 2673,Australia,Sri Lanka,Australia,128 runs,Sydney,08-Feb-08
ODI # 2674,New Zealand,England,New Zealand,6 wickets,Wellington,09-Feb-08
ODI # 2675,Australia,India,India,5 wickets,Melbourne,10-Feb-08
ODI # 2676,India,Sri Lanka,Sri Lanka,8 wickets,Canberra,12-Feb-08
ODI # 2677,New Zealand,England,New Zealand,10 wickets,Hamilton,12-Feb-08
ODI # 2678,New Zealand,England,England,6 wickets,Auckland,15-Feb-08
ODI # 2679,Australia,Sri Lanka,Australia,63 runs,Perth,15-Feb-08
ODI # 2680,Australia,India,Australia,50 runs,Adelaide,17-Feb-08
ODI # 2681,India,Sri Lanka,India,2 wickets,Adelaide,19-Feb-08
ODI # 2682,New Zealand,England,tied,,Napier,20-Feb-08
ODI # 2683,Australia,Sri Lanka,Australia,24 runs,Melbourne,22-Feb-08
ODI # 2684,New Zealand,England,New Zealand,34 runs,Christchurch,23-Feb-08
ODI # 2685,Australia,India,Australia,18 runs,Sydney,24-Feb-08
ODI # 2686,India,Sri Lanka,India,7 wickets,Hobart,26-Feb-08
ODI # 2687,Australia,Sri Lanka,Sri Lanka,13 runs,Melbourne,29-Feb-08
ODI # 2688,Australia,India,India,6 wickets,Sydney,02-Mar-08
ODI # 2689,Australia,India,India,9 runs,Brisbane,04-Mar-08
ODI # 2690,Bangladesh,South Africa,South Africa,9 wickets,Chittagong,09-Mar-08
ODI # 2691,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,12-Mar-08
ODI # 2692,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,14-Mar-08
